Gene	Non-unique Gene name	Annotation
sarV		HTH-type transcriptional regulator SarV
dltC		D-alanine--poly(phosphoribitol) ligase subunit 2
nrdR		Transcriptional repressor NrdR
rot		HTH-type transcriptional regulator rot
mnhG1		Na( )/H( ) antiporter subunit G1
rpsH		30S ribosomal protein S8
rpmJ		50S ribosomal protein L36
group_5940		Nucleoid-associated protein
rsbV		Anti-sigma-B factor antagonist
yugI_2		General stress protein 13
group_5943		hypothetical protein
gatC_2		Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C
divIC		Cell division protein DivIC
mnhF1		Na( )/H( ) antiporter subunit F1
rplF		50S ribosomal protein L6
group_5948		putative tautomerase.1
rpsP		30S ribosomal protein S16
cvfB		Conserved virulence factor B
group_5951		hypothetical protein
metE		5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
cfiB_2		2-oxoglutarate carboxylase small subunit
ribF		Riboflavin biosynthesis protein RibF
rpsL		30S ribosomal protein S12
fieF		Ferrous-iron efflux pump FieF
dgkA		Undecaprenol kinase
rplU		50S ribosomal protein L21
cycA_2		D-serine/D-alanine/glycine transporter
pyrG		CTP synthase
frr		Ribosome-recycling factor
focA		putative formate transporter 1
aspS		Aspartate--tRNA ligase
group_5964		NADH dehydrogenase-like protein
ypdF		Aminopeptidase YpdF
pbpB		Penicillin-binding protein 2B
group_5969		Putative heme-dependent peroxidase
clpX		ATP-dependent Clp protease ATP-binding subunit ClpX
group_5971		hypothetical protein
guaB		Inosine-5'-monophosphate dehydrogenase
tpiA		Triosephosphate isomerase
group_5974		hypothetical protein
dinB1		DNA polymerase IV 1
dnaJ		Chaperone protein DnaJ
gpmA_2		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
polC_1		DNA polymerase III PolC-type
fur		Ferric uptake regulation protein
group_5988		hypothetical protein
ltaS		Lipoteichoic acid synthase
ssbA_1		Single-stranded DNA-binding protein A
nadK		NAD kinase
nreC		Oxygen regulatory protein NreC
tsf		Elongation factor Ts
mecA		Adapter protein MecA 1
yidC		Membrane protein insertase YidC
yodB		HTH-type transcriptional regulator YodB
infC		Translation initiation factor IF-3
mntB		Manganese transport system membrane protein MntB
ureC		Urease subunit alpha
treR_3		HTH-type transcriptional regulator TreR
sufB_1		FeS cluster assembly protein SufB
group_6002		hypothetical protein
ctaB2		Protoheme IX farnesyltransferase 2
der_2		GTPase Der
mgsR		Regulatory protein MgsR
cls_2		Cardiolipin synthase
rsmH_1		Ribosomal RNA small subunit methyltransferase H
nhaK_1		Sodium, potassium, lithium and rubidium/H( ) antiporter
rpoA		DNA-directed RNA polymerase subunit alpha
glnA		Glutamine synthetase
queC		7-cyano-7-deazaguanine synthase
msrA1		Peptide methionine sulfoxide reductase MsrA 1
yclM		Aspartokinase 3
lrgA		Antiholin-like protein LrgA
group_6016		hypothetical protein
mtaB		Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB
group_6018		putative AAA domain-containing protein
queD		6-carboxy-5,6,7,8-tetrahydropterin synthase
group_6020		hypothetical protein
nupC_2		Nucleoside permease NupC
dps		General stress protein 20U
group_6023		hypothetical protein
cdd		Cytidine deaminase
ilvB		Acetolactate synthase large subunit
addA		ATP-dependent helicase/nuclease subunit A
dapH		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
acdA		Acyl-CoA dehydrogenase
sepF		Cell division protein SepF
group_603		hypothetical protein
nikB_1		Nickel transport system permease protein NikB
group_6031		hypothetical protein
ltaA		putative glycolipid permease LtaA
sufB_2		FeS cluster assembly protein SufB
pgk		Phosphoglycerate kinase
marA		Multiple antibiotic resistance protein MarA
group_6036		hypothetical protein
vraR		Response regulator protein VraR
tarA		N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase
pflA		Pyruvate formate-lyase-activating enzyme
vraS		Sensor protein VraS
cysS		Cysteine--tRNA ligase
group_6044		hypothetical protein
cynR_2		HTH-type transcriptional regulator CynR
zwf		Glucose-6-phosphate 1-dehydrogenase
ytrA		HTH-type transcriptional repressor YtrA
arcA		Arginine deiminase
pyrH		Uridylate kinase
mnmG		tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
pth		Peptidyl-tRNA hydrolase
group_6052		Pesticidal crystal protein Cry22Aa
yacL		putative PIN and TRAM-domain containing protein YacL
hemB		Delta-aminolevulinic acid dehydratase
lacA		Galactose-6-phosphate isomerase subunit LacA
group_6056		putative N-acetyltransferase
group_6057		hypothetical protein
folE2		GTP cyclohydrolase FolE2
lipL		Octanoyl-[GcvH]:protein N-octanoyltransferase
glmM		Phosphoglucosamine mutase
recF		DNA replication and repair protein RecF
xerD_3		Tyrosine recombinase XerD
wbpI		UDP-2,3-diacetamido-2,3-dideoxy-D-glucuronate 2-epimerase
pflB		Formate acetyltransferase
recQ_1		ATP-dependent DNA helicase RecQ
group_6068		hypothetical protein
yhaO		putative metallophosphoesterase YhaO
group_607		Non-canonical purine NTP pyrophosphatase
dnaX_1		DNA polymerase III subunit tau
qoxA		putative quinol oxidase subunit 2
ydcP_2		putative protease YdcP
group_6081		hypothetical protein
group_6082		hypothetical protein
slyA_3		Transcriptional regulator SlyA
carB		Carbamoyl-phosphate synthase large chain
group_6085		hypothetical protein
uvrC		UvrABC system protein C
group_6087		hypothetical protein
isdE		High-affinity heme uptake system protein IsdE
lytR_2		Transcriptional regulator LytR
thiN		Thiamine pyrophosphokinase
mgtE		Magnesium transporter MgtE
nhaK_2		Sodium, potassium, lithium and rubidium/H( ) antiporter
gltS		Sodium/glutamate symporter
ndk		Nucleoside diphosphate kinase
alaS		Alanine--tRNA ligase
corA		Cobalt/magnesium transport protein CorA
group_6097		hypothetical protein
pyrC		Dihydroorotase
lipM		Octanoyltransferase LipM
cap8A_2		Capsular polysaccharide type 8 biosynthesis protein cap8A
ligA		DNA ligase
metN2		Methionine import ATP-binding protein MetN 2
gyrB		DNA gyrase subunit B
coaE		Dephospho-CoA kinase
group_6105		hypothetical protein
group_6106		hypothetical protein
nrdI		Protein NrdI
hprK		HPr kinase/phosphorylase
menB		1,4-dihydroxy-2-naphthoyl-CoA synthase
nikA		Nickel-binding periplasmic protein
group_6111		hypothetical protein
arcB_1		Delta(1)-pyrroline-2-carboxylate reductase
frdA		Fumarate reductase flavoprotein subunit
adk		Adenylate kinase
sbnA		putative siderophore biosynthesis protein SbnA
group_6116		Putative peptidyl-prolyl cis-trans isomerase
ugpC		sn-glycerol-3-phosphate import ATP-binding protein UgpC
dtpT		Di-/tripeptide transporter
nnrD		ADP-dependent (S)-NAD(P)H-hydrate dehydratase
sdhA		L-serine dehydratase, alpha chain
pepF1_1		Oligoendopeptidase F, plasmid
pdxT		Pyridoxal 5'-phosphate synthase subunit PdxT
purA		Adenylosuccinate synthetase
tgt		Queuine tRNA-ribosyltransferase
rpsM		30S ribosomal protein S13
group_6126		hypothetical protein
yigZ		IMPACT family member YigZ
pstS		Phosphate-binding protein PstS
atl_3		Bifunctional autolysin
srrA		Transcriptional regulatory protein SrrA
rpsJ		30S ribosomal protein S10
group_6132		hypothetical protein
tagH_1		Teichoic acids export ATP-binding protein TagH
hom		Homoserine dehydrogenase
catD		Putative oxidoreductase CatD
recN		DNA repair protein RecN
glpF		Glycerol uptake facilitator protein
ddl		D-alanine--D-alanine ligase
gluD		NAD-specific glutamate dehydrogenase
grpE		Protein GrpE
spoVG		Putative septation protein SpoVG
fabI		Enoyl-[acyl-carrier-protein] reductase [NADPH] FabI
group_6143		hypothetical protein
pdhD		Dihydrolipoyl dehydrogenase
ureD1		Urease accessory protein UreD
menA		1,4-dihydroxy-2-naphthoate octaprenyltransferase
garL		5-keto-4-deoxy-D-glucarate aldolase
group_6148		PTS system EIIBC component
bfmBAA		2-oxoisovalerate dehydrogenase subunit alpha
group_6150		hypothetical protein
group_6151		hypothetical protein
czrA		HTH-type transcriptional repressor CzrA
malL		Oligo-1,6-glucosidase
leuS		Leucine--tRNA ligase
group_6156		hypothetical protein
srkA		Stress response kinase A
rocD2_2		Ornithine aminotransferase 2
secA_1		Protein translocase subunit SecA
thyA		Thymidylate synthase
pcrA		ATP-dependent DNA helicase PcrA
ydcP_1		putative protease YdcP
group_6163		hypothetical protein
group_6165		hypothetical protein
yfiY		putative siderophore-binding lipoprotein YfiY
ffh		Signal recognition particle protein
ureA		Urease subunit gamma
proS		Proline--tRNA ligase
nrdF		Ribonucleoside-diphosphate reductase subunit beta
hemL2		Glutamate-1-semialdehyde 2,1-aminomutase 2
fepC		Ferric enterobactin transport ATP-binding protein FepC
gpsB		Cell cycle protein GpsB
mnhD1_2		Na( )/H( ) antiporter subunit D1
uvrB		UvrABC system protein B
opuD_3		Glycine betaine transporter OpuD
radA		DNA repair protein RadA
tmk		Thymidylate kinase
prfB		Peptide chain release factor 2
mqo2		putative malate:quinone oxidoreductase 2
rluD_2		Ribosomal large subunit pseudouridine synthase D
rho		Transcription termination factor Rho
group_6183		Alkaline shock protein 23
group_6184		hypothetical protein
galK		Galactokinase
yrrK		Putative pre-16S rRNA nuclease
phoP		Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
htrA		Serine protease Do-like HtrA
bmrA		Multidrug resistance ABC transporter ATP-binding/permease protein BmrA
ruvA		Holliday junction ATP-dependent DNA helicase RuvA
topA		DNA topoisomerase 1
nth_1		Endonuclease III
carA_2		Carbamoyl-phosphate synthase small chain
yutF		Acid sugar phosphatase
citZ		Citrate synthase 2
ldhA		L-lactate dehydrogenase 1
group_6197		hypothetical protein
hpf		Ribosome hibernation promotion factor
group_6199		hypothetical protein
steT		Serine/threonine exchanger SteT
znuC_1		High-affinity zinc uptake system ATP-binding protein ZnuC
coaBC		Coenzyme A biosynthesis bifunctional protein CoaBC
rocA		1-pyrroline-5-carboxylate dehydrogenase
katA		Catalase
fabG		3-oxoacyl-[acyl-carrier-protein] reductase FabG
rpiA		Ribose-5-phosphate isomerase A
rplI		50S ribosomal protein L9
csd		putative cysteine desulfurase
group_6209		Soluble hydrogenase 42 kDa subunit
yhaM		3'-5' exoribonuclease YhaM
nrdE1		Ribonucleoside-diphosphate reductase subunit alpha 1
pheS		Phenylalanine--tRNA ligase alpha subunit
group_6214		hypothetical protein
glnQ		Glutamine transport ATP-binding protein GlnQ
phnD		Phosphate-import protein PhnD
ybbH_1		putative HTH-type transcriptional regulator YbbH
phnE_2		Phosphate-import permease protein PhnE
group_6219		hypothetical protein
pdhC_1		Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
group_6221		hypothetical protein
purQ		Phosphoribosylformylglycinamidine synthase subunit PurQ
group_6223		hypothetical protein
polA		DNA polymerase I
opuD_1		Glycine betaine transporter OpuD
bltD_2		Spermine/spermidine acetyltransferase
ypdA		Sensor histidine kinase YpdA
group_6231		hypothetical protein
ybiT		putative ABC transporter ATP-binding protein YbiT
mdtH		Multidrug resistance protein MdtH
group_6234		hypothetical protein
murB		UDP-N-acetylenolpyruvoylglucosamine reductase
map		Methionine aminopeptidase
gnd		6-phosphogluconate dehydrogenase, decarboxylating
arcR		HTH-type transcriptional regulator ArcR
msrR		Regulatory protein MsrR
tagG		Teichoic acid translocation permease protein TagG
group_6242		hypothetical protein
fba		Fructose-bisphosphate aldolase
group_6244		hypothetical protein
yjlD		NADH dehydrogenase-like protein YjlD
group_6246		hypothetical protein
mnhE1		Na( )/H( ) antiporter subunit E1
adh		Alcohol dehydrogenase
qoxB		putative quinol oxidase subunit 1
leuA_2		2-isopropylmalate synthase
mnhA1		Na( )/H( ) antiporter subunit A1
nrdD		Anaerobic ribonucleoside-triphosphate reductase
purH		Bifunctional purine biosynthesis protein PurH
rplX		50S ribosomal protein L24
purB		Adenylosuccinate lyase
group_6256		PhoH-like protein
guaA		GMP synthase [glutamine-hydrolyzing]
rex		Redox-sensing transcriptional repressor Rex
saeR		Response regulator SaeR
group_626		hypothetical protein
rplL		50S ribosomal protein L7/L12
group_6261		Putative universal stress protein
mutL		DNA mismatch repair protein MutL
gtaB		UTP--glucose-1-phosphate uridylyltransferase
qoxC		Quinol oxidase subunit 3
group_6265		hypothetical protein
prfC		Peptide chain release factor 3
mraY		Phospho-N-acetylmuramoyl-pentapeptide-transferase
uppS		Isoprenyl transferase
group_6269		Phosphomevalonate kinase
tatC2		Sec-independent protein translocase protein TatCy
femB		Aminoacyltransferase FemB
gatA		Glutamyl-tRNA(Gln) amidotransferase subunit A
ythA		Putative cytochrome bd menaquinol oxidase subunit I
group_6273		Putative TrmH family tRNA/rRNA methyltransferase
gcvT		Aminomethyltransferase
mntH_2		Divalent metal cation transporter MntH
pucK		Uric acid permease PucK
moeA		Molybdopterin molybdenumtransferase
mnhB1		Na( )/H( ) antiporter subunit B1
group_6279		hypothetical protein
prfA		Peptide chain release factor 1
atpG		ATP synthase gamma chain
sufC		Vegetative protein 296
ung		Uracil-DNA glycosylase
pitA_1		Low-affinity inorganic phosphate transporter 1
mrp		Iron-sulfur cluster carrier protein
group_6290		3-hexulose-6-phosphate synthase
mcsB		Protein-arginine kinase
patA_1		Peptidoglycan O-acetyltransferase
aldA		Putative aldehyde dehydrogenase AldA
gdpP		Cyclic-di-AMP phosphodiesterase GdpP
gltT		Proton/sodium-glutamate symport protein
mnmA		tRNA-specific 2-thiouridylase MnmA
pdxK		Pyridoxine kinase
pyrP		Uracil permease
murA1		UDP-N-acetylglucosamine 1-carboxyvinyltransferase 1
yjjP		Inner membrane protein YjjP
yheS		putative ABC transporter ATP-binding protein YheS
group_6303		hypothetical protein
mnmE		tRNA modification GTPase MnmE
ptsI		Phosphoenolpyruvate-protein phosphotransferase
trxB		Thioredoxin reductase
cggR		Central glycolytic genes regulator
yfbR		5'-deoxynucleotidase YfbR
dnaC_1		Replicative DNA helicase
group_6312		hypothetical protein
group_6313		hypothetical protein
gpmI		2,3-bisphosphoglycerate-independent phosphoglycerate mutase
lexA_2		LexA repressor
rlmN		putative dual-specificity RNA methyltransferase RlmN
rimP		Ribosome maturation factor RimP
gcvPB		putative glycine dehydrogenase (decarboxylating) subunit 2
gatB_2		Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
lytM_2		Glycyl-glycine endopeptidase LytM
ftsL		Cell division protein FtsL
group_6323		hypothetical protein
dnaN		DNA polymerase III subunit beta
oppC		Oligopeptide transport system permease protein OppC
group_6326		Glucosaminate ammonia-lyase
mgt		Monofunctional glycosyltransferase
group_6328		hypothetical protein
cdaA		Cyclic di-AMP synthase CdaA
fabZ		3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
group_6331		hypothetical protein
odhA		2-oxoglutarate dehydrogenase E1 component
iscS_1		Cysteine desulfurase IscS
odh		Opine dehydrogenase
rpsO		30S ribosomal protein S15
bfmBAB		2-oxoisovalerate dehydrogenase subunit beta
yhdG_1		putative amino acid permease YhdG
capD		UDP-glucose 4-epimerase
pbuG		Guanine/hypoxanthine permease PbuG
group_6347		hypothetical protein
trmD		tRNA (guanine-N(1)-)-methyltransferase
gcvPA		putative glycine dehydrogenase (decarboxylating) subunit 1
cysE		Serine acetyltransferase
cdsA		Phosphatidate cytidylyltransferase
accA		Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
group_6353		hypothetical protein
rimI_2		N-alpha-acetyltransferase RimI
ywqE_2		Tyrosine-protein phosphatase YwqE
whiA		Putative sporulation transcription regulator WhiA
